week,MRSA,VRSA,Other,Wild
1,21.7,1.9,5.8,71.7
2,27.5,1.8,4.5,72.6
3,25.3,1.4,4.8,67.4
4,24.0,1.9,5.5,72.3
5,19.6,0.6,4.5,68.7
6,19.6,0.8,4.2,71.3
7,18.6,0.6,4.6,71.3
8,26.7,1.0,4.3,70.4
9,24.0,1.1,5.9,65.9
10,25.1,0.9,5.6,73.4
11,18.2,1.7,5.3,68.2
12,27.7,1.0,5.7,66.9
13,26.3,0.9,5.6,65.4
14,20.1,1.3,4.4,70.9
15,19.8,0.7,5.8,71.8
16,19.8,1.7,5.1,65.2
17,21.0,0.6,5.6,70.1
18,23.2,2.0,5.8,67.3
19,22.3,1.7,4.6,71.5
20,20.9,0.8,4.2,66.7
21,24.1,0.5,4.5,71.9
22,19.4,1.7,4.9,68.9
23,20.9,1.6,5.6,74.4
24,21.7,1.6,5.7,66.4
25,22.6,1.7,4.0,68.4
26,25.9,0.6,5.0,66.1
27,20.0,1.0,4.8,74.2
28,23.1,0.7,4.4,73.8
29,23.9,1.8,4.2,67.6
30,18.5,1.4,4.7,71.6
31,24.1,1.0,5.9,73.2
32,19.7,0.6,4.6,70.6
33,18.7,1.0,5.0,70.3
34,27.5,1.0,5.4,67.4
35,27.7,1.6,4.7,65.9
36,26.1,1.5,5.9,74.0
37,21.0,1.8,5.9,74.0
38,19.0,1.2,4.5,71.3
39,24.8,0.7,5.0,68.4
40,22.4,1.6,4.6,68.5
41,19.2,1.6,4.6,72.3
42,23.0,1.3,4.1,74.0
43,18.3,1.7,5.2,73.9
44,27.1,1.2,5.0,72.8
45,20.6,1.3,4.1,71.4
46,24.6,1.1,4.6,65.8
47,21.1,0.5,5.8,66.6
48,23.2,0.7,4.5,74.0
49,23.5,0.5,4.3,71.1
50,19.8,1.5,5.0,65.1
51,27.7,1.0,6.0,66.0
52,25.8,1.3,4.5,71.6
