week,MRSA,VRSA,Other,Wild
2024-01-01,11.1,0.9,3.7,84.3
2024-01-08,6.2,1.6,5.4,86.8
2024-01-15,7.9,0.0,6.6,85.4
2024-01-22,16.1,0.0,4.8,79.0
2024-01-29,7.1,0.0,7.1,85.8
2024-02-05,19.4,0.0,8.9,71.8
2024-02-12,11.2,0.0,8.0,80.8
2024-02-19,7.9,0.0,9.5,82.5
2024-02-26,10.9,0.7,6.6,81.8
2024-03-04,5.1,0.9,6.8,87.2
2024-03-11,13.5,0.7,12.8,73.0
2024-03-18,11.1,0.7,22.2,66.0
2024-03-25,7.5,0.0,7.5,84.9
2024-04-01,10.7,0.0,4.9,84.5
2024-04-08,16.1,0.0,12.5,71.4
2024-04-15,6.2,1.6,6.2,85.9
2024-04-22,13.3,0.8,6.2,79.7
2024-04-29,11.7,0.0,3.9,84.5
2024-05-06,5.6,0.9,6.5,86.9
2024-05-13,14.4,0.9,6.3,78.4
2024-05-20,19.3,0.0,11.0,69.7
2024-05-27,17.2,0.0,8.6,74.1
2024-06-03,11.5,0.0,8.0,80.5
2024-06-10,14.3,0.0,10.2,75.5
2024-06-17,9.2,0.0,4.1,86.7
2024-06-24,8.9,0.0,6.5,84.6
2024-07-01,13.4,0.0,7.1,79.5
2024-07-08,6.4,0.0,9.2,84.4
2024-07-15,7.1,0.0,5.7,87.1
2024-07-22,11.2,0.0,7.8,81.0
2024-07-29,11.4,0.0,8.1,80.5
2024-08-05,17.0,0.0,5.2,77.8
2024-08-12,15.9,0.0,12.3,71.7
2024-08-19,12.8,0.0,6.4,80.7
2024-08-26,5.8,0.0,4.2,90.0
2024-09-02,18.8,1.0,4.2,76.0
2024-09-09,6.7,2.2,4.4,86.7
2024-09-16,16.8,0.8,4.2,78.2
2024-09-23,16.3,0.0,4.8,78.9
2024-09-30,12.8,0.0,8.8,78.4
2024-10-07,13.7,0.0,4.8,81.5
2024-10-14,8.5,0.0,6.8,84.7
2024-10-21,11.0,0.0,8.5,80.5
2024-10-28,18.3,0.0,6.4,75.2
2024-11-04,19.5,0.0,8.5,72.0
2024-11-11,8.9,0.0,6.9,84.2
2024-11-18,18.3,0.0,5.4,76.3
2024-11-25,16.1,0.0,5.9,78.0
2024-12-02,13.9,0.0,2.0,84.2
2024-12-09,11.1,0.0,6.5,82.4
2024-12-16,21.6,0.0,4.5,73.9
2024-12-23,18.2,0.0,2.6,79.2
2024-12-30,22.9,2.9,5.7,68.6
